Title,Location,Price,Bedrooms,Bathrooms,URL
4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 145,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-8NVEN
Brand New 3 Bedroom Terrace Duplex,Ikota Lekki Lagos,"₦ 120,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-2NVAR
4 Bedroom Fully Detached Duplex With Bq,Ajah Lagos,"₦ 220,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-8NVHA
5 Bedroom Semi Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 180,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-5NVEM
4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,"₦ 180,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-1NUMH
Brand New 4 Bedroom Detached Duplex,Ajah Lagos,"₦ 180,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-0NVAE
Brand New 5 Bedroom Detached Duplex,Chevron Lekki Lagos,"₦ 550,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-5NUWB
Brand New 5 Bedroom Detached Duplex,Ajah Lagos,"₦ 280,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-3NVBA
Newly Built 8 Bedroom Fully Detached Duplex,Asokoro Extension Asokoro Abuja,"₦ 2,500,000,000",8,10,https://propertypro.ng/property/8-bedroom-house-for-sale-asokoro-extension-asokoro-abuja-5NGDD
4 Bedroom Semi Detached Duplex With Bq,Ajah Lagos,"₦ 160,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-5NVBW
5 Bedroom Detached Duplex,Royal Garden Awoyaya Ajah Lagos,"₦ 1,200,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-royal-garden-awoyaya-ajah-lagos-7NVAZ
5 Bedroom Detached Duplex,Ajah Lagos,"₦ 280,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-6NVDQ
Newly Built 4 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 180,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-5NVAN
5 Bedroom Detached Duplex,Orchid Lekki Lagos,"₦ 350,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-7NUYK
5 Bedroom Detached Duplex,Ajah Lagos,"₦ 250,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-6NVDX
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,"₦ 350,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-9NUWU
4 Bedroom Detached Duplex,Ajah Lagos,"₦ 175,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-7NUWX
Well Furnished 4 Bedroom Detached Bungalow,"Ikosi, Close To Magodo Shangisha. Lagos Ketu Lagos","₦ 130,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-ikosi-close-to-magodo-shangisha-lagos-ketu-lagos-6NYPR
"Prime Land Measuring 1,500sqm+demolishable Structure",Ilupeju Lagos,"₦ 1,200,000,000",0,0,https://propertypro.ng/property/land-for-sale-ilupeju-lagos-6NYNL
"Mixed Used Land Measuring 2,734.570sqm","Doyin Omololu Street, By Obanlearo, Alapere, Ketu Lagos","₦ 400,000,000",0,0,https://propertypro.ng/property/land-for-sale-doyin-omololu-street-by-obanlearo-alapere-ketu-lagos-8NYPR
Luxury 4 Bedroom Terraced Duplex With Bq,Lekki Phase 1 Lekki Lagos,"₦ 400,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8NGVG
Cornerpiece Land Measuring 3 Plots,"Off Awolowo Way, Ikeja Lagos","₦ 2,000,000,000",0,0,https://propertypro.ng/property/land-for-sale-off-awolowo-way-ikeja-lagos-0NYNN
Fenced Land Measuring 500sqm,"Off Ajao Road, Off Awolowo Way And Close Towemabod Estate, Isolo Lagos","₦ 350,000,000",0,0,https://propertypro.ng/property/land-for-sale-off-ajao-road-off-awolowo-way-and-close-towemabod-estate-isolo-lagos-1NYPS
Empty Plot Of Land Measuring 777sqm,Ilupeju Lagos,"₦ 720,000,000",0,0,https://propertypro.ng/property/land-for-sale-ilupeju-lagos-7NYNM
Newly Built Multi Purpose Block Of Flats,"Shagari Estate; Mosan, Ipaja Lagos","₦ 60,000,000",2,0,https://propertypro.ng/property/2-bedroom-house-for-sale-shagari-estate-mosan-ipaja-lagos-6NYNN
Lovely Built Block Of Flats,"Close To Igando General Hospital, General Bus Stop, Lasu , Isheri Egbe Idimu Lagos","₦ 130,000,000",3,0,https://propertypro.ng/property/3-bedroom-house-for-sale-close-to-igando-general-hospital-general-bus-stop-lasu-isheri-egbe-idimu-lagos-2NYNK
4 Bedroom Terrace Duplex With Bq,Ikota Lekki Lagos,"₦ 150,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-6NWGY
Contemporary 5 Bedroom Detached Duplex With Lounge,Lekki Phase 1 Lekki Lagos,"₦ 1,500,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-7NVXS
4 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 230,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-8NWNN
4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 200,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-3NVWG
3 Bedroom Flat,Banana Island Ikoyi Lagos,"₦ 60,000,000/year",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-0NMKA
State Of The Art 2 Bedroom Apartment With Pool,Oniru Victoria Island Lagos,"₦ 305,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-oniru-victoria-island-lagos-1NVXS
5 Bedroom Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 370,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-0NVZK
T 5 Bedroom Detached Duplex With Bq,Vgc Lekki Lagos,"₦ 850,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-vgc-lekki-lagos-0NWAN
